programName,courseCode,courseType
Electronics Major,MATH202,foundation
Electronics Major,FOUN342,elective
Electronics Major,CHEM101,elective
Electronics Major,HIST101,core
Electronics Major,MATH202,core
Electronics Major,PHIL202,core
Electronics Major,FOUN342,elective
Electronics Major,ANTH202,core
Electronics Major,FOUN202,core
Electronics Major,PSYC101,core
Electronics Major,PHIL202,foundation
Electronics Major,SOC101,core
Chemistry Minor,FOUN202,elective
Chemistry Minor,MARK202,elective
Chemistry Minor,CSCI101,elective
Chemistry Minor,THEA101,foundation
Chemistry Minor,HIST101,core
Chemistry Minor,MUS101,elective
Chemistry Minor,THEA101,foundation
Chemistry Minor,PHIL101,elective
Chemistry Minor,DANC101,foundation
Chemistry Minor,PSYC101,foundation
Chemistry Minor,CHEM101,core
Chemistry Minor,PHIL202,foundation
Chemistry Minor,MARK202,elective
Mathematics Minor,DANC101,core
Mathematics Minor,HIST101,core
Mathematics Minor,MARK202,elective
Mathematics Minor,DANC101,core
Mathematics Minor,PHIL101,core
Mathematics Minor,SPAN101,foundation
Mathematics Minor,PHIL202,core
Mathematics Minor,EDUC101,foundation
Mathematics Minor,SOCI101,elective
Mathematics Minor,HUM101,foundation
Mathematics Minor,DANC101,foundation
Mathematics Minor,ASTR202,elective
Mathematics Minor,CHEM202,foundation
Biochemistry Minor,FOUN202,elective
Biochemistry Minor,ASTR202,elective
Biochemistry Minor,SOCI101,foundation
Biochemistry Minor,SOCI101,elective
Biochemistry Minor,FREN101,elective
Biochemistry Minor,EDUC101,foundation
Biochemistry Minor,HIST101,foundation
Biochemistry Minor,POLI202,elective
Biochemistry Minor,MATH202,elective
Biochemistry Minor,ACCT202,foundation
Biochemistry Minor,SOCI101,core
Biochemistry Minor,HIST101,elective
Biochemistry Minor,DANC101,elective
Political Science Minor,PHIL101,core
Political Science Minor,FOUN202,elective
Political Science Minor,PHIL202,elective
Political Science Minor,EDUC101,core
Political Science Minor,SOCI101,foundation
Political Science Minor,FREN101,foundation
Political Science Minor,HIST101,elective
Political Science Minor,CSCI101,core
Political Science Minor,PHIL202,foundation
Political Science Minor,REL101,foundation
Political Science Minor,FIN202,foundation
Political Science Minor,HIST101,foundation
Political Science Minor,ANTH202,core
Computer Science Special,EDUC101,core
Computer Science Special,SPAN101,core
Computer Science Special,MARK202,foundation
Computer Science Special,CHEM202,core
Computer Science Special,PSYC101,core
Computer Science Special,THEA101,core
Computer Science Special,FOUN202,core
Computer Science Special,MATH202,core
Computer Science Special,STAT202,foundation
Computer Science Special,PSYC101,elective
Computer Science Special,THEA101,core
Computer Science Special,FOUN342,foundation
Computer Science Special,FOUN202,foundation
Business Administration,BUS202,foundation
Business Administration,PHIL202,foundation
Business Administration,HIST101,core
Business Administration,BUS202,elective
Business Administration,EDUC101,foundation
Business Administration,CHEM101,elective
Business Administration,ECON202,elective
Business Administration,FOUN202,core
Business Administration,REL101,elective
Business Administration,THEA101,core
Business Administration,SPAN101,foundation
Business Administration,PHIL101,core
Business Administration,MARK202,foundation
Mechanical Engineering,FOUN342,elective
Mechanical Engineering,PHIL101,core
Mechanical Engineering,HIST101,foundation
Mechanical Engineering,PHYS101,core
Mechanical Engineering,FOUN202,core
Mechanical Engineering,ACCT202,elective
Mechanical Engineering,DANC101,elective
Mechanical Engineering,ART101,elective
Mechanical Engineering,ASTR202,elective
Mechanical Engineering,STAT202,core
Mechanical Engineering,ACCT202,elective
Mechanical Engineering,DANC101,elective
Mechanical Engineering,REL101,elective
Biomedical Technology Special,CHEM101,foundation
Biomedical Technology Special,MUS101,foundation
Biomedical Technology Special,STAT202,elective
Biomedical Technology Special,SPAN101,foundation
Biomedical Technology Special,ECON202,foundation
Biomedical Technology Special,STAT202,elective
Biomedical Technology Special,ACCT202,elective
Biomedical Technology Special,MARK202,foundation
Biomedical Technology Special,CSCI101,core
Biomedical Technology Special,SOC101,elective
Biomedical Technology Special,MGMT202,foundation
Biomedical Technology Special,FOUN202,elective
Biomedical Technology Special,SPAN101,elective
Psychology Major,ENG101,core
Psychology Major,FOUN202,foundation
Psychology Major,MGMT202,elective
Psychology Major,BUS202,foundation
Psychology Major,MGMT202,elective
Psychology Major,FREN101,core
Psychology Major,THEA101,foundation
Psychology Major,SOCI101,foundation
Psychology Major,MUS101,elective
Psychology Major,REL101,foundation
Psychology Major,MARK202,elective
Psychology Major,PHYS101,elective
Psychology Major,FREN101,foundation
Nursing,GEOG202,core
Nursing,ACCT202,elective
Nursing,ACCT202,elective
Nursing,MUS101,elective
Nursing,HUM101,elective
Nursing,HIST101,elective
Nursing,BIOL202,foundation
Nursing,ART101,foundation
Nursing,THEA101,core
Nursing,MUS101,foundation
Nursing,PHIL202,foundation
Nursing,FOUN202,elective
Nursing,MATH202,foundation
Marketing Major,REL101,foundation
Marketing Major,PSYC101,core
Marketing Major,BIOL202,core
Marketing Major,CSCI101,foundation
Marketing Major,MARK202,elective
Marketing Major,PHYS101,foundation
Marketing Major,MARK202,elective
Marketing Major,CHEM202,foundation
Marketing Major,THEA101,core
Marketing Major,SOC101,core
Marketing Major,EDUC101,foundation
Marketing Major,HUM101,core
Marketing Major,PSYC101,elective
Electrical Engineering,FOUN342,foundation
Electrical Engineering,BIOL202,foundation
Electrical Engineering,POLI202,elective
Electrical Engineering,ACCT202,foundation
Electrical Engineering,FOUN202,core
Electrical Engineering,THEA101,elective
